Language name,Alternate language names,Country,Region,Resource Title,Resource URL,"Resource type (please only choose from the dropdown list, don't type anything here!)",
Malay,bahasa melayu,Malaysia,Southeast Asia,Hesperian info and prevention page,https://ms.hesperian.org/hhg/Koronavirus,Web page,
Malayalam,മലയാളം,India,South Asia,NHS guidance document,https://www.doctorsoftheworld.org.uk/wp-content/uploads/2020/04/Malayalam-Covid19-Guidance.pdf,Document,
Malayalam,മലയാളം,India,South Asia,Infographic from CMO Kerala,https://twitter.com/CMOKerala/status/1238420136068968448/photo/3,Image/poster,
Malayalam,മലയാളം,India,South Asia,WHO myth busters information page,https://covid-no-mb.org/?page_id=1252,Web page,
Malayalam,മലയാളം,India,South Asia,Hesperian info and prevention page,https://ml.hesperian.org/hhg/%E0%B4%95%E0%B5%8A%E0%B4%B1%E0%B5%8B%E0%B4%A3_%E0%B4%B5%E0%B5%88%E0%B4%B1%E0%B4%B8%E0%B5%8D,Web page,
Malayalam,മലയാളം,India,South Asia,SBS Australia information page,https://www.sbs.com.au/language/malayalam/coronavirus-updates,Web page,
Maltese,Malti,Malta,Europe,SBS Australia information page,https://www.sbs.com.au/language/maltese/coronavirus-updates,Web page,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Informational audio message,https://drive.google.com/open?id=1fHXxIMst9buFtdp9FsudeQFN6dx7-nSd,Audio,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Prevention audio message,https://drive.google.com/open?id=1O89ahkWAaG1W6VYABs4Q7NYsq1SDPz7W,Audio,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/coronavirus-idioma-mam,Audio,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,INALI prevention brochure (Ta Yol variety),https://site.inali.gob.mx/Micrositios/materiales_de_prevencion_covid-19/pdf/covid_mam.pdf,Document,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Informational video,https://www.facebook.com/JuventudesIndigenasGT/videos/pcb.1105274023140629/1795656617238046/?type=3&theater,Video,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Informational video,https://www.youtube.com/watch?v=BnxBBQwph8I&fbclid=IwAR3sztoETC4ZNabWqiX2AjfeIze9zuzX9gcxQ-ylCqI115f_EeSRJf1QpTQ,Video,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Information and prevention video,https://www.youtube.com/watch?v=BnxBBQwph8I&feature=youtu.be,Video,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Informational video (Mam/Spanish) - comprehensive,https://www.youtube.com/watch?v=g-nrN1JdZLQ,Video,
Mam,,"Guatemala, Mexico",Mexico-Central America-Caribbean,Informational video,https://youtu.be/w_IGIIkSSLc,Video,
Mambila,,Cameroon,Africa,Information about adjusting social life from VirALLanguages,https://www.youtube.com/watch?v=UHShqHYN4ws&feature=youtu.be,Video,
Mambila,,Cameroon,Africa,COVID-19 transmission information video from VirALLanguages,https://www.youtube.com/watch?v=45iUN6gRL4o,Video,
Mambila,,Cameroon,Africa,Information video from VirALLanguages,https://www.youtube.com/watch?v=OfyOQ-uZjrA,Video,
Mamprusi,"Mampruli, Ŋmampulli, Mamprugu",Ghana,Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1_RnkGYqRK1h4ACig7cUozf3U34Eg4XgH/view?usp=sharing,Audio,
Mandar,"Andian, Manjar, Mandharsche",Indonesia,Southeast Asia,WHO myth busters information page,https://covid-no-mb.org/?page_id=2169,Web page,
Mandarin Chinese,中文,China,East Asia,"Washington, DC symptoms poster",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/COVID19 Symptoms_Chinese.pdf,Document,
Mandarin Chinese,中文,China,East Asia,"Washington, DC high risk/senior guidance",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/High Risk Senior Guidance_Facebook CHINESE.pdf,Document,
Mandarin Chinese,中文,China,East Asia,"Washington, DC how to take your oral temperature",https://coronavirus.dc.gov/sites/default/files/u65602/How to take your Oral Temperature_Chinese_3102020_r1.pdf,Document,
Mandarin Chinese,中文,China,East Asia,NHS guidance document,https://www.doctorsoftheworld.org.uk/wp-content/uploads/2020/04/Simplified-Chinese-Covid19-Guidance.pdf,Document,
Mandarin Chinese,中文,China,East Asia,NYC Health fact sheet (simplified),https://www1.nyc.gov/assets/doh/downloads/pdf/imm/coronavirus-factsheet-sc.pdf,Document,
Mandarin Chinese,中文,China,East Asia,"Washington, DC social distance graphic",https://octo.dc.gov/sites/default/files/dc/sites/coronavirus/Social-Distancing-CHINESE.png,Image/poster,
Mandarin Chinese,中文,China,East Asia,British Columbia PHSA informational videos,https://www.youtube.com/playlist?list=PLcE0nANeV5MqmYtzgviDxgGdVZguwDj2-,Video,
Mandarin Chinese,中文,China,East Asia,SBS Australia information page,https://www.sbs.com.au/language/mandarin/coronavirus-updates,Web page,
Mandarin Chinese,中文,China,East Asia,Multnomah County informational videos,https://multco.us/novel-coronavirus-covid-19/information-simplified-chinese,Web page,
Mandarin Chinese,中文,China,East Asia,CDC Coronavirus page (simplified),https://www.cdc.gov/coronavirus/2019-ncov/index-Chinese.html,Web page,
Mandarin Chinese,中文,China,East Asia,Hesperian prevention and info page,https://zh.hesperian.org/hhg/%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92,Web page,
Mandaya,,Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1SJhyZUZ--Fin9QQD93U2gLbYL_qQqeUp,Image/poster,
Mandaya,,Philippines,Southeast Asia,WHO crowd-translated infographic (suggest revisions here),https://www.facebook.com/spvnya/posts/3144473102230476?hc_location=ufi,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA social distancing multilingual poster,https://drive.google.com/open?id=13gLcBelxM8PdZ2IGWbM9xzva0HpfIHl0,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA stay at home multilingual poster,https://drive.google.com/open?id=17xhCF8HNw10Mv7kJvOosBqyO7rwLGWo0,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA cover your cough multilingual poster,https://drive.google.com/open?id=1H1zfZtc79EC9iVbXLK8tVv5rYuoyF9j1,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA hand washing multilingual poster,https://drive.google.com/open?id=1LeUbjzBq8V6KLWquu4cn_XoZlfkeFNm1,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA COVID-19 is real multilingual poster,https://drive.google.com/open?id=1p7GDFdkRaw1MJ9KPICRCX6zfn_j5Kk9X,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA don't touch face multilingual poster,https://drive.google.com/open?id=1qjUH5D_UgZZg2Fe-spIoc0csz6nRwoil,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA no public gatherings multilingual poster,https://drive.google.com/open?id=1xkQkLud8u4yhvwr3URYk6EUWkNYQOmO_,Image/poster,
Mandeŋ,,"Senegal, Gambia",Africa,LILIEMA Don't shake hands multilingual poster,https://drive.google.com/open?id=1zSRUMYtjGRQ7InOisAtWWxRBfQq2C6_1,Image/poster,
Mandinka,Mandingo,"Republic of Guinea, Senegal, The Gambia ",Africa,LILIEMA Posters: The Gambia,https://liliema.com/posters-the-gambia-2/,Image/poster,
Mandinka,Mandingo,"Republic of Guinea, Senegal, The Gambia ",Africa,"Alpha Naby Mané, président de LILIEMA: Mandinka",https://www.youtube.com/watch?v=Acai3cuiggs,Video,
Manggarai,,Indonesia,Southeast Asia,Informasi mendasar tentang virus Corona dijelaskan dalam Bahasa Manggarai (Indonesia),https://youtu.be/A5ARDH_qyFw,Video,
Maninkakan,"Maninka, Malinke, Eastern Maninka","Guinea, Mali, Liberia, Senegal, Sierra Leone, Ivory Coast",Africa,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=mlq-000,Image/poster,
Mankiyali,,Pakistan,South Asia,Prevention and information video from Forum for Language Initiatives,https://drive.google.com/file/d/1doYrYB4JNIbgRriERXD1861BVKc2yHYH/view?usp=sharing,Video,
